OriginalQuery,RewrittenQuery,Type
Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the expiration date of this contract?,"""What is the typical duration of Marketing Affiliate Agreements between companies?""",vague
Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the renewal term for this contract?,"""In what timeframe do Marketing Affiliate Agreements typically require renewal?""",vague
Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the notice period required to terminate the renewal?,"""Are there any specified consequences for non-compliance in Master Services Agreements?""",vague
Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the governing law for this contract?,"""In contracts between companies, what types of laws typically govern the agreement?""",vague
Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; Is there an anti-assignment clause in this contract?,"""Are there common restrictions on the transfer of rights in affiliate marketing agreements?""",vague
Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; Is there a minimum commitment required under this contract?,"""Do Marketing Affiliate Agreements generally involve a minimum commitment requirement?""",vague
Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What licenses are granted under this contract?,"""Are there any trademark usage restrictions typically found in affiliate marketing contracts?""",vague
Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What are the audit rights under this contract?,"""In marketing affiliate contracts, what level of access to financial records is typically granted to the auditor?""",vague
Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; Is there a cap on liability under this contract?,"""Do Marketing Affiliate Agreements often include liability caps?""",vague
Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the duration of any warranties provided in this contract?,"""What is the standard duration for warranties in contracts between affiliates?""  Final",vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; What is the expiration date of this contract?,"""What are the common procedures for terminating a Video-on-Demand Content License Agreement?""",vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; What is the renewal term for this contract?,"""What typical contract renewal terms can be found in Video-on-Demand Content License Agreements?""",vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; What is the notice period required to terminate the renewal?,"""What are the common notice periods required for terminating a Video-on-Demand",vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; What is the governing law for this contract?,"""What jurisdictions do Video-on-Demand Content License Agreements typically have governing laws for?""",vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; Is there a most favored nation clause in this contract?,"""How common are most favored nation clauses in content license agreements between large media companies?""",vague
"Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; Can this contract be terminated for convenience, and under what conditions?",What conditions can allow for termination of the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc?,vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; Is there an anti-assignment clause in this contract?,"""",vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; Does this contract include any revenue or profit-sharing arrangements?,"""Can Video-on-Demand Content License Agreements specify profit-sharing terms?""  Final_Reph",vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; Is there a minimum commitment required under this contract?,"""What are common requirements for Video-on-Demand Content License Agreements in terms of minimum commitment?""",vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; What licenses are granted under this contract?,"""Do Video-on-Demand Content License Agreements usually impose usage restrictions on licensed content?""",vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; Does this contract include an unlimited or all-you-can-eat license?,"""How common are all-you-can-eat or unlimited video content license",vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; What are the audit rights under this contract?,"""What circumstances would typically allow a licensor to terminate a Video-on-Demand Content License Agreement?""",vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; Is there uncapped liability under this contract?,"""What kinds of restrictions are there on cancelling or terminating a Video-on-Demand Content License Agreement?""",vague
Consider the Video-on-Demand Content License Agreement between Rogers Cable Communications Inc. and EuroMedia Holdings Corp.; Is there a cap on liability under this contract?,"""How do Video-on-Demand Content License Agreements usually address rights to Confidential Information?""",vague
"Consider the Content Distribution and License Agreement between ConvergTV, Inc. and Fulucai Productions Ltd.; What is the renewal term for this contract?",What are the standard renewal terms for Content Distribution and License Agreements in the industry?  Final_Rephr,vague
"Consider the Content Distribution and License Agreement between ConvergTV, Inc. and Fulucai Productions Ltd.; What is the governing law for this contract?","""Can Non-Disclosure Agreements like the one between CopAcc and ToP Mentors be restrictive about Confidential Information rights?""",vague
"Consider the Content Distribution and License Agreement between ConvergTV, Inc. and Fulucai Productions Ltd.; Does this contract include an exclusivity agreement?","""How do Content Distribution and License Ag",vague
"Consider the Content Distribution and License Agreement between ConvergTV, Inc. and Fulucai Productions Ltd.; Does this contract include any revenue or profit-sharing arrangements?",What kind of revenue or profit-sharing arrangements are commonly found in Content Distribution and License Agreements?,vague
"Consider the Content Distribution and License Agreement between ConvergTV, Inc. and Fulucai Productions Ltd.; Does the licensee's affiliates have any licensing rights under this contract?","What rights, if any, do affiliates of the licensee have under the Content Distribution and License Agreement?",vague
"Consider the Content Distribution and License Agreement between ConvergTV, Inc. and Fulucai Productions Ltd.; What are the audit rights under this contract?","""What are the common requirements for audit procedures in a contract between a content distributor and licensor?""",vague
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; What is the expiration date of this contract?","""What is the typical duration for Content License Agreements to remain in effect?""",vague
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; What is the renewal term for this contract?","""Are there any circumstances under which a Content License Agreement might be terminated before its end date?""",vague
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; What is the notice period required to terminate the renewal?",How long in advance is typically needed to terminate the renewal of a Content License Agreement?,vague
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; What is the governing law for this contract?","""What is the standard practice for specifying the governing jurisdiction in Content License Agreements?""",vague
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; Does this contract include an exclusivity agreement?","""Are Content License Agreements between companies typically associated with exclusivity arrangements?""",vague
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; What happens in the event of a change of control of one of the parties in this contract?",Are there any provisions in the Content,vague
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; Is there an anti-assignment clause in this contract?",How do Content License Agreements typically specify the governing law for disputes or interpretations?,vague
"Consider the Content License Agreement between PSiTech Corporation and Empirical Ventures, Inc.; Does this contract include any revenue or profit-sharing arrangements?","""Are Content License Agreements usually limited to specific geographic regions or exclusive territories?""",vague
